make_model,year,price_usd,transmission,color,body_type,engine_cap,engine_type,wheel_pos,mileage,city,car_link,date
Honda Fit,2003 г.,$ 6 500,автомат,черный,хэтчбек 5 дв.,1.5,бензин,руль справа,345 000 км,Бишкек,https://www.mashina.kg/details/honda-fit-64fcd31ca46a5818868516,09_11_2023
Toyota Wish,2003 г.,$ 7 400,автомат,черный,компактвэн,1.8,бензин,руль справа,173 423 км,Бишкек,https://www.mashina.kg/details/toyota-wish-64fdbddc6bee7333362427,09_11_2023
Toyota Camry,2017 г.,$ 18 500,автомат,белый,седан,2.5,бензин,руль слева,123 485 км,Бишкек,https://www.mashina.kg/details/toyota-camry-64fed60b124b7603290697,09_11_2023
Lexus RX,2007 г.,$ 15 900,автомат,серебристый,внедорожник 5 дв.,3.5,бензин,руль слева,200 000 км,Бишкек,https://www.mashina.kg/details/lexus-rx-64fdd4e0b9aab046447607,09_11_2023
Toyota Allex,2005 г.,$ 8 300,автомат,белый,хэтчбек 5 дв.,1.8,бензин,руль справа,255 000 км,Бишкек,https://www.mashina.kg/details/toyota-allex-64fdd3082b3c1764060597,09_11_2023
Lexus RX,2003 г.,$ 11 700,автомат,хамелеон,внедорожник 5 дв.,3,бензин,руль справа,170 000 км,Бишкек,https://www.mashina.kg/details/lexus-rx-64fdd2fb92152923808082,09_11_2023
Hyundai Sonata,2018 г.,$ 13 200,автомат,серебристый,седан,2,газ,руль слева,204 006 км,Бишкек,https://www.mashina.kg/details/hyundai-sonata-64fd3e69868f1013871477,09_11_2023
Honda CR-V,2003 г.,$ 11 200,автомат,черный,внедорожник 5 дв.,2,бензин,руль справа,255 000 км,Бишкек,https://www.mashina.kg/details/honda-cr-v-64fdd05d5aedb222607602,09_11_2023
Hyundai Sonata,2018 г.,$ 14 500,автомат,серебристый,седан,2,газ,руль слева,200 000 км,Бишкек,https://www.mashina.kg/details/hyundai-sonata-64fdd00aecaaa118331137,09_11_2023
Hyundai Sonata,2015 г.,$ 10 900,автомат,белый,седан,2,газ,руль слева,150 000 км,Бишкек,https://www.mashina.kg/details/hyundai-sonata-64fdd000733df526732016,09_11_2023
Honda Odyssey,2003 г.,$ 7 700,автомат,серый,минивэн,2.3,бензин,руль справа,217 000 км,Бишкек,https://www.mashina.kg/details/honda-odyssey-64fdcf829bb5b179569318,09_11_2023
Mazda 5,2008 г.,$ 8 500,автомат,серебристый,компактвэн,2.3,бензин,руль слева,252 666 км,Бишкек,https://www.mashina.kg/details/mazda-5-64fdcee6767c4336485167,09_11_2023
Toyota Corolla,2006 г.,$ 7 000,механика,серебристый,хэтчбек 5 дв.,1.4,бензин,руль слева,195 000 км,Бишкек,https://www.mashina.kg/details/toyota-corolla-64fdcda93b4f1482454232,09_11_2023
Honda Stream,2006 г.,$ 7 000,автомат,синий,компактвэн,1.7,бензин,руль справа,268 573 км,Бишкек,https://www.mashina.kg/details/honda-stream-64fdcd21331b7617697971,09_11_2023
Hyundai Elantra,2017 г.,$ 12 700,автомат,белый,седан,2,бензин,руль слева,100 000 км,Бишкек,https://www.mashina.kg/details/hyundai-elantra-64fdccf62b97f257056453,09_11_2023
Honda CR-V,2003 г.,$ 9 700,автомат,серый,внедорожник 5 дв.,2,бензин,руль слева,172 000 км,Бишкек,https://www.mashina.kg/details/honda-cr-v-64fdcc67d8260665149550,09_11_2023
Hyundai Tucson,2018 г.,$ 19 500,автомат,белый,внедорожник 5 дв.,2,дизель,руль слева,90 000 км,Бишкек,https://www.mashina.kg/details/hyundai-tucson-64fdcb49f1702874178316,09_11_2023
MINI Coupe,2011 г.,$ 4 300,механика,красный,купе,1.6,бензин,руль справа,184 000 км,Бишкек,https://www.mashina.kg/details/mini-coupe-64fdc9ff4ef90393365578,09_11_2023
Kia Sportage,2017 г.,$ 18 000,робот,белый,внедорожник 5 дв.,1.7,дизель,руль слева,130 000 км,Бишкек,https://www.mashina.kg/details/kia-sportage-64fdc97752a02811946575,09_11_2023
BMW 7 серии,2011 г.,$ 19 000,автомат,белый,седан,4.4,бензин,руль слева,185 000 км,Бишкек,https://www.mashina.kg/details/bmw-7-serii-64fd2d2a69986277807163,09_11_2023
Kia Carnival,2017 г.,$ 19 500,автомат,серебристый,минивэн,2.2,дизель,руль слева,194 000 км,Бишкек,https://www.mashina.kg/details/kia-carnival-64fdc8af994e1725605044,09_11_2023
Toyota Harrier,2003 г.,$ 11 000,автомат,серебристый,внедорожник 5 дв.,3,бензин,руль справа,189 522 км,Бишкек,https://www.mashina.kg/details/toyota-harrier-64fdc8380dfb8887831955,09_11_2023
Subaru Outback,2018 г.,$ 19 500,вариатор,белый,универсал,2.5,бензин,руль слева,57 000 км,Бишкек,https://www.mashina.kg/details/subaru-outback-64fdc738f0f9d545368230,09_11_2023
Toyota Estima,2003 г.,$ 8 200,автомат,белый,минивэн,2.4,бензин,руль справа,200 000 км,Бишкек,https://www.mashina.kg/details/toyota-estima-64fdb928b1990563175424,09_11_2023
Kia K5 II Седан,2017 г.,$ 14 500,автомат,черный,седан,2,газ,руль слева,126 000 км,Бишкек,https://www.mashina.kg/details/kia-k5-64fd56a2f0c3a430207984,09_11_2023
Kia K5 II Седан,2019 г.,$ 15 700,автомат,белый,седан,2,газ,руль слева,115 000 км,Бишкек,https://www.mashina.kg/details/kia-k5-64fe926082b62238300173,09_11_2023
Honda Fit,2010 г.,$ 10 300,автомат,черный,хэтчбек 5 дв.,1.5,бензин,руль слева,150 000 км,Бишкек,https://www.mashina.kg/details/honda-fit-64fdb29d4dc33679877651,09_11_2023
Kia K5 II Седан,2016 г.,$ 14 500,автомат,белый,седан,2,газ,руль слева,139 000 км,Бишкек,https://www.mashina.kg/details/kia-k5-64fd15afa800e269671122,09_11_2023
Subaru Forester,2017 г.,$ 19 500,вариатор,серебристый,внедорожник 5 дв.,2,бензин,руль слева,50 000 км,Бишкек,https://www.mashina.kg/details/subaru-forester-64fe912fb1ca8558859845,09_11_2023
Kia K7,2018 г.,$ 18 800,автомат,черный,седан,3,газ,руль слева,32 677 км,Бишкек,https://www.mashina.kg/details/kia-k7-64fda6b3b6ab5839861029,09_11_2023
Kia Morning,2017 г.,$ 8 800,автомат,бежевый,хэтчбек 5 дв.,1,бензин,руль слева,180 728 км,Бишкек,https://www.mashina.kg/details/kia-morning-64fda8856b6aa395212797,09_11_2023
Toyota Verso,2010 г.,$ 11 500,вариатор,синий,компактвэн,2.2,дизель,руль слева,110 000 км,Бишкек,https://www.mashina.kg/details/toyota-verso-64fe8e4d61011414999130,09_11_2023
Honda Stepwgn,2003 г.,$ 8 555,автомат,серебристый,минивэн,2,бензин,руль слева,300 000 км,Бишкек,https://www.mashina.kg/details/honda-stepwgn-64fde014a4d77892019009,09_11_2023
Honda Stepwgn,2003 г.,$ 11 800,автомат,баклажан,минивэн,2.4,бензин,руль справа,300 000 км,Бишкек,https://www.mashina.kg/details/honda-stepwgn-64fe8d384d91f433474284,09_11_2023
Toyota Estima,2003 г.,$ 9 200,автомат,синий,минивэн,2.4,бензин,руль справа,224 650 км,Бишкек,https://www.mashina.kg/details/toyota-estima-64fde2f376286374088698,09_11_2023
Volkswagen Polo,2018 г.,$ 8 490,автомат,белый,седан,1.6,бензин,руль слева,310 000 км,Бишкек,https://www.mashina.kg/details/volkswagen-polo-64fe8c4734231938921108,09_11_2023
Hyundai Sonata,2020 г.,$ 15 200,автомат,серебристый,седан,2,газ,руль слева,202 000 км,Бишкек,https://www.mashina.kg/details/hyundai-sonata-64fde9154fd34093574585,09_11_2023
Kia Sportage,2017 г.,$ 19 200,автомат,белый,внедорожник 5 дв.,2,дизель,руль слева,88 500 км,Бишкек,https://www.mashina.kg/details/kia-sportage-64fde67524bdd383722226,09_11_2023
Mitsubishi Carisma,2003 г.,$ 4 075,механика,серый,хэтчбек 5 дв.,1.6,бензин,руль справа,240 400 км,Бишкек,https://www.mashina.kg/details/mitsubishi-carisma-64fe8a4211073433859364,09_11_2023
Toyota RAV4,2018 г.,$ 19 500,автомат,белый,внедорожник 5 дв.,2.5,бензин,руль слева,150 000 км,Бишкек,https://www.mashina.kg/details/toyota-rav4-64fe89f9e8113938802755,09_11_2023
Kia K7,2019 г.,$ 18 500,автомат,черный,седан,3,газ,руль слева,65 000 км,Бишкек,https://www.mashina.kg/details/kia-k7-64fe8956ed954729486077,09_11_2023
Hyundai Tucson,2017 г.,$ 16 000,робот,белый,внедорожник 5 дв.,1.7,дизель,руль слева,67 500 км,Бишкек,https://www.mashina.kg/details/hyundai-tucson-64fd88f4e60f0887675162,09_11_2023
Honda Fit,2008 г.,$ 7 924,автомат,серебристый,хэтчбек 5 дв.,1.5,бензин,руль справа,,Бишкек,https://www.mashina.kg/details/honda-fit-64fe890f15d25640332879,09_11_2023
Chevrolet Volt,2013 г.,$ 13 200,вариатор,серебристый,хэтчбек 5 дв.,1.4,гибрид,руль слева,129 000 км,Бишкек,https://www.mashina.kg/details/chevrolet-volt-64fef1799af49764464146,09_11_2023
Honda CR-V,2004 г.,$ 10 200,автомат,синий,внедорожник 5 дв.,2.4,бензин,руль слева,195 000 км,Бишкек,https://www.mashina.kg/details/honda-cr-v-64fe1c106ef71715337274,09_11_2023
Honda Stream,2003 г.,$ 7 500,автомат,голубой,компактвэн,2,бензин,руль слева,295 000 км,Бишкек,https://www.mashina.kg/details/honda-stream-64fef0ff18aa4322892563,09_11_2023
Toyota Camry,2016 г.,$ 14 900,автомат,черный,седан,2.5,бензин,руль слева,169 000 км,Бишкек,https://www.mashina.kg/details/toyota-camry-64fef05126766389216201,09_11_2023
Hyundai Sonata,2017 г.,$ 16 000,автомат,белый,седан,2,газ,руль слева,140 000 км,Бишкек,https://www.mashina.kg/details/hyundai-sonata-64fd9dedacf73019628746,09_11_2023
Hyundai Solaris,2012 г.,$ 7 500,автомат,белый,седан,1.6,бензин,руль слева,170 000 км,Бишкек,https://www.mashina.kg/details/hyundai-solaris-64feeff542bde066761597,09_11_2023
Subaru Legacy,2003 г.,$ 6 300,автомат,серебристый,седан,2,бензин,руль справа,245 000 км,Бишкек,https://www.mashina.kg/details/subaru-legacy-64feef8feb28d305447858,09_11_2023
Kia Optima,2019 г.,$ 16 900,автомат,черный,седан,2.4,бензин,руль слева,107 000 км,Бишкек,https://www.mashina.kg/details/kia-optima-64feef33bc6c3455745965,09_11_2023
Hyundai Accent,2005 г.,$ 3 200,механика,бежевый,седан,1.5,бензин,руль слева,243 581 км,Бишкек,https://www.mashina.kg/details/hyundai-accent-64feec8528137071743400,09_11_2023
Kia K5 II Седан,2019 г.,$ 17 500,автомат,черный,седан,2,газ,руль слева,130 000 км,Бишкек,https://www.mashina.kg/details/kia-k5-64fd9c727ad38638644876,09_11_2023
Toyota Estima,2011 г.,$ 13 000,вариатор,черный,минивэн,2.4,бензин,руль справа,124 000 км,Бишкек,https://www.mashina.kg/details/toyota-estima-64feee3f2b3a3043944531,09_11_2023
Kia Morning,2018 г.,$ 9 900,автомат,бежевый,хэтчбек 5 дв.,1,бензин,руль слева,90 000 км,Бишкек,https://www.mashina.kg/details/kia-morning-64fd7a452d7a3730124859,09_11_2023
Hyundai Avante,2018 г.,$ 14 400,автомат,белый,седан,1.6,бензин,руль слева,110 000 км,Бишкек,https://www.mashina.kg/details/hyundai-avante-64feee3625605598770639,09_11_2023
Hyundai Elantra,2004 г.,$ 3 849,механика,серый,лифтбек,1.6,бензин,руль слева,240 000 км,Бишкек,https://www.mashina.kg/details/hyundai-elantra-64fdbc9c38c70420093043,09_11_2023
Subaru Crosstrek,2018 г.,$ 17 500,вариатор,белый,внедорожник 5 дв.,2,бензин,руль слева,72 000 км,Бишкек,https://www.mashina.kg/details/subaru-crosstrek-64feece71e299517286489,09_11_2023
Honda Jazz,2008 г.,$ 10 300,вариатор,белый,хэтчбек 5 дв.,1.3,бензин,руль слева,178 000 км,Бишкек,https://www.mashina.kg/details/honda-jazz-64fda27b5e3c2827907301,09_11_2023
Kia Carnival,2017 г.,$ 19 800,автомат,черный,минивэн,2.2,дизель,руль слева,155 022 км,Бишкек,https://www.mashina.kg/details/kia-carnival-64feab6b14bab902456293,09_11_2023
Lexus ES,2007 г.,$ 10 500,автомат,серебристый,седан,3.5,бензин,руль слева,150 000 км,Бишкек,https://www.mashina.kg/details/lexus-es-64feec5c3d45a837603160,09_11_2023
Toyota Estima,2005 г.,$ 13 000,автомат,белый,минивэн,3,бензин,руль справа,132 000 км,Бишкек,https://www.mashina.kg/details/toyota-estima-64feec3c98fe2826875596,09_11_2023
Subaru Crosstrek,2017 г.,$ 15 300,вариатор,оранжевый,внедорожник 5 дв.,2,бензин,руль слева,104 000 км,Бишкек,https://www.mashina.kg/details/subaru-crosstrek-64fee9466165d368484354,09_11_2023
Nissan Primera,2004 г.,$ 4 000,механика,зеленый,универсал,1.8,бензин,руль слева,300 000 км,Бишкек,https://www.mashina.kg/details/nissan-primera-64fdbd246070d480131917,09_11_2023
Lexus GS,2003 г.,$ 13 500,автомат,серый,седан,3,бензин,руль слева,240 000 км,Бишкек,https://www.mashina.kg/details/lexus-gs-64fdbce99dc2f458558819,09_11_2023
Subaru Forester,2019 г.,$ 18 500,вариатор,черный,внедорожник 5 дв.,2.5,бензин,руль слева,66 000 км,Бишкек,https://www.mashina.kg/details/subaru-forester-64fdbc54474fa674024062,09_11_2023
Hyundai Sonata,2017 г.,$ 13 700,автомат,белый,седан,2,газ,руль слева,135 000 км,Бишкек,https://www.mashina.kg/details/hyundai-sonata-64fdbc374b433150298150,09_11_2023
BMW 5 серии,2005 г.,$ 5 700,автомат,серебристый,седан,3,бензин,руль справа,201 542 км,Бишкек,https://www.mashina.kg/details/bmw-5-serii-64fdbc11e2052854615129,09_11_2023
Honda Fit,2008 г.,$ 7 700,вариатор,черный,хэтчбек 5 дв.,1.3,бензин,руль справа,200 000 км,Бишкек,https://www.mashina.kg/details/honda-fit-64fdbbe0c1007820391531,09_11_2023
Toyota Camry,2005 г.,$ 10 900,автомат,серебристый,седан,2.4,бензин,руль справа,185 000 км,Бишкек,https://www.mashina.kg/details/toyota-camry-64fdbb679e826908172061,09_11_2023
Toyota RAV4,2003 г.,$ 8 700,автомат,черный,внедорожник 5 дв.,2,бензин,руль слева,350 000 км,Бишкек,https://www.mashina.kg/details/toyota-rav4-64fd240812fba519434157,09_11_2023
Toyota Wish,2003 г.,$ 7 999,автомат,черный,компактвэн,1.8,бензин,руль справа,240 000 км,Бишкек,https://www.mashina.kg/details/toyota-wish-64fd260b140e7779046936,09_11_2023
Toyota Harrier,2003 г.,$ 11 700,автомат,черный,внедорожник 5 дв.,2.4,бензин,руль справа,254 000 км,Бишкек,https://www.mashina.kg/details/toyota-harrier-64fdbaa58639a624129575,09_11_2023
Ford Focus,2011 г.,$ 7 800,робот,бирюзовый,седан,1.6,бензин,руль слева,280 000 км,Бишкек,https://www.mashina.kg/details/ford-focus-64fdba99841ea324542056,09_11_2023
Toyota Camry,2017 г.,$ 17 500,автомат,серебристый,седан,2.5,бензин,руль слева,104 000 км,Бишкек,https://www.mashina.kg/details/toyota-camry-64fdba5f4fef4439449749,09_11_2023
Subaru Forester,2017 г.,$ 14 800,вариатор,черный,внедорожник 5 дв.,2.5,бензин,руль слева,150 000 км,Бишкек,https://www.mashina.kg/details/subaru-forester-64fdba42aba2c277821295,09_11_2023
Hyundai Sonata,2018 г.,$ 13 100,автомат,серебристый,седан,2,газ,руль слева,307 000 км,Бишкек,https://www.mashina.kg/details/hyundai-sonata-64fdb8ddb4551732971809,09_11_2023
Toyota Corolla Verso,2005 г.,$ 8 800,робот,синий,компактвэн,1.8,бензин,руль слева,142 000 км,Бишкек,https://www.mashina.kg/details/toyota-corolla-verso-64fdb8630bf74391114963,09_11_2023
Toyota Wish,2003 г.,$ 6 800,автомат,бирюзовый,компактвэн,1.8,бензин,руль справа,299 999 км,Бишкек,https://www.mashina.kg/details/toyota-wish-64fdb83b59b01128428398,09_11_2023
Kia K5 II Седан,2016 г.,$ 11 600,автомат,белый,седан,2,газ,руль слева,147 211 км,Бишкек,https://www.mashina.kg/details/kia-k5-64fdb7a79a0fd910789585,09_11_2023
Toyota Highlander,2007 г.,$ 18 000,автомат,черный,внедорожник 5 дв.,3.5,бензин,руль слева,,Бишкек,https://www.mashina.kg/details/toyota-highlander-64fdb72ed783a702238176,09_11_2023
Subaru Outback,2017 г.,$ 17 200,вариатор,золотистый,универсал,2.5,бензин,руль слева,173 000 км,Бишкек,https://www.mashina.kg/details/subaru-outback-64fdb671d6cd2150574784,09_11_2023
Chevrolet Lacetti,2009 г.,$ 3 962,механика,черный,седан,1.6,бензин,руль слева,300 000 км,Бишкек,https://www.mashina.kg/details/chevrolet-lacetti-64fdb5976982c443085702,09_11_2023
Toyota Camry,2004 г.,$ 8 000,механика,серебристый,седан,2.4,бензин,руль слева,305 000 км,Бишкек,https://www.mashina.kg/details/toyota-camry-64fde0615ce04332243967,09_11_2023
Honda Stepwgn,2003 г.,$ 10 000,автомат,черный,минивэн,2,бензин,руль справа,151 000 км,Бишкек,https://www.mashina.kg/details/honda-stepwgn-64fdad7c37d88086158091,09_11_2023
Toyota Camry,2015 г.,$ 17 200,вариатор,серебристый,седан,2.5,гибрид,руль слева,,Бишкек,https://www.mashina.kg/details/toyota-camry-64fddf72ece64004882110,09_11_2023
Subaru Legacy,2004 г.,$ 8 500,автомат,серебристый,седан,2.5,бензин,руль слева,175 645 км,Бишкек,https://www.mashina.kg/details/subaru-legacy-64fddf198361e124506305,09_11_2023
Honda Stream,2004 г.,$ 7 200,автомат,красный,компактвэн,1.7,бензин,руль справа,229 000 км,Бишкек,https://www.mashina.kg/details/honda-stream-64fddd64aa287956759043,09_11_2023
Honda Fit,2008 г.,$ 8 000,вариатор,белый,хэтчбек 5 дв.,1.5,бензин,руль слева,193 000 км,Бишкек,https://www.mashina.kg/details/honda-fit-64fddb2826b44917737008,09_11_2023
Lexus RX,2003 г.,$ 14 700,автомат,черный,внедорожник 5 дв.,3.3,бензин,руль слева,205 000 км,Бишкек,https://www.mashina.kg/details/lexus-rx-64fdda6cd4a09975003919,09_11_2023
Honda Accord,2003 г.,$ 9 200,автомат,синий,седан,2.4,бензин,руль слева,334 000 км,Бишкек,https://www.mashina.kg/details/honda-accord-64fdda6997469583374939,09_11_2023
Toyota Camry,2013 г.,$ 14 999,вариатор,бежевый,седан,2.5,гибрид,руль слева,156 596 км,Бишкек,https://www.mashina.kg/details/toyota-camry-64fdda414a3e0403606084,09_11_2023
Kia Sportage,2020 г.,$ 18 500,автомат,серебристый,внедорожник 5 дв.,2.4,бензин,руль слева,25 000 км,Бишкек,https://www.mashina.kg/details/kia-sportage-64fdd9dbdfd03211933021,09_11_2023
Honda Jazz,2003 г.,$ 7 200,механика,голубой,хэтчбек 5 дв.,1.5,бензин,руль слева,168 661 км,Бишкек,https://www.mashina.kg/details/honda-jazz-64fdd949a055e146517167,09_11_2023
Mitsubishi Airtrek,2003 г.,$ 6 000,автомат,белый,внедорожник 5 дв.,2.4,бензин,руль справа,290 530 км,Бишкек,https://www.mashina.kg/details/mitsubishi-airtrek-64fdd8cc32422285596249,09_11_2023
Daewoo Matiz,2008 г.,$ 3 170,механика,синий,хэтчбек 5 дв.,0.8,бензин,руль слева,,Бишкек,https://www.mashina.kg/details/daewoo-matiz-64fdd89169700302804425,09_11_2023
Toyota Prius,2005 г.,$ 7 900,автомат,вишня,хэтчбек 5 дв.,1.5,гибрид,руль слева,296 320 км,Бишкек,https://www.mashina.kg/details/toyota-prius-64fdd829ddd7a842959348,09_11_2023
Toyota Voxy,2005 г.,$ 10 500,вариатор,черный,компактвэн,2,бензин,руль справа,,Бишкек,https://www.mashina.kg/details/toyota-voxy-64fdd7bac2edb555153903,09_11_2023
Toyota Camry (Japan),2004 г.,$ 9 900,автомат,серебристый,седан,2.4,бензин,руль справа,237 900 км,Бишкек,https://www.mashina.kg/details/toyota-camry-japan-64fdd72ab82b4219553003,09_11_2023
BMW 5 серии,2006 г.,$ 8 800,автомат,черный,седан,3,бензин,руль слева,290 000 км,Бишкек,https://www.mashina.kg/details/bmw-5-serii-64fda33ccbb2c446064142,09_11_2023
Toyota Corolla,2014 г.,$ 14 000,вариатор,белый,седан,1.6,бензин,руль слева,180 000 км,Бишкек,https://www.mashina.kg/details/toyota-corolla-64fdd5df2d56a082524356,09_11_2023
Lexus RX,2007 г.,$ 14 300,автомат,серебристый,внедорожник 5 дв.,3.5,бензин,руль слева,240 000 км,Бишкек,https://www.mashina.kg/details/lexus-rx-64fdd5a1b6163629200390,09_11_2023
Toyota Windom,2003 г.,$ 9 800,автомат,серый,седан,3,бензин,руль справа,300 000 км,Бишкек,https://www.mashina.kg/details/toyota-windom-64fd879893acf184345132,09_11_2023
Toyota Prius,2017 г.,$ 18 300,вариатор,белый,лифтбек,1.8,гибрид,руль слева,85 055 км,Бишкек,https://www.mashina.kg/details/toyota-prius-64feb2c0b06cf030014380,09_11_2023
Mercedes-Benz CLS,2008 г.,$ 18 000,автомат,черный,седан,5.5,бензин,руль слева,130 000 км,Бишкек,https://www.mashina.kg/details/mercedes-benz-cls-64fd3960107f2270555311,09_11_2023
Kia Carnival,2018 г.,$ 16 950,автомат,черный,минивэн,2.2,дизель,руль слева,162 452 км,Бишкек,https://www.mashina.kg/details/kia-carnival-64feb22095c17978428941,09_11_2023
Volkswagen Polo,2013 г.,$ 6 800,механика,белый,седан,1.6,бензин,руль слева,18 500 км,Бишкек,https://www.mashina.kg/details/volkswagen-polo-64feb1cfcd250212532037,09_11_2023
Kia K5 I Седан,2011 г.,$ 9 400,автомат,серебристый,седан,2,газ,руль слева,320 000 км,Бишкек,https://www.mashina.kg/details/kia-k5-64fd3d6e284cd253335870,09_11_2023
Kia Rio,2010 г.,$ 5 660,автомат,серебристый,седан,1.4,бензин,руль слева,147 000 км,Бишкек,https://www.mashina.kg/details/kia-rio-64fdc62449c1b511197923,09_11_2023
Hyundai Getz,2004 г.,$ 4 528,механика,черный,хэтчбек 5 дв.,1.1,бензин,руль слева,395 000 км,Бишкек,https://www.mashina.kg/details/hyundai-getz-64feb09c9cfd1725907534,09_11_2023
Toyota Camry,2012 г.,$ 15 500,автомат,черный,седан,2.5,бензин,руль слева,175 000 км,Бишкек,https://www.mashina.kg/details/toyota-camry-64feb0521f818280916715,09_11_2023
Kia K5 II Седан,2016 г.,$ 14 800,автомат,белый,седан,2,газ,руль слева,373 000 км,Бишкек,https://www.mashina.kg/details/kia-k5-64feafed046be719288419,09_11_2023
Kia K5 II Седан,2019 г.,$ 16 999,автомат,белый,седан,2,газ,руль слева,190 000 км,Бишкек,https://www.mashina.kg/details/kia-k5-64fd6bcad9fb8431107755,09_11_2023
Toyota Corolla Spacio,2003 г.,$ 7 000,автомат,серебристый,компактвэн,1.5,бензин,руль справа,276 992 км,Бишкек,https://www.mashina.kg/details/toyota-corolla-spacio-64feaf11b4dfc646941493,09_11_2023
Chevrolet Kalos,2008 г.,$ 5 200,механика,черный,хэтчбек 5 дв.,1.2,бензин,руль слева,180 000 км,Бишкек,https://www.mashina.kg/details/chevrolet-kalos-64fcb5376961e244739124,09_11_2023
Kia Morning,2018 г.,$ 9 300,автомат,бежевый,хэтчбек 5 дв.,1,бензин,руль слева,30 000 км,Бишкек,https://www.mashina.kg/details/kia-morning-64fd5509496bd540267152,09_11_2023
Toyota Camry,2011 г.,$ 14 100,автомат,серебристый,седан,2.5,бензин,руль слева,118 000 км,Бишкек,https://www.mashina.kg/details/toyota-camry-64fead958d9e4575422843,09_11_2023
Honda Stream,2003 г.,$ 6 800,автомат,белый,компактвэн,1.7,бензин,руль справа,180 000 км,Бишкек,https://www.mashina.kg/details/honda-stream-64fdc258f16e6016791788,09_11_2023
Hyundai Sonata,2018 г.,$ 13 900,автомат,белый,седан,2,газ,руль слева,97 600 км,Бишкек,https://www.mashina.kg/details/hyundai-sonata-64fead506f842140107962,09_11_2023
Hyundai Sonata,2016 г.,$ 13 999,автомат,белый,седан,2,бензин,руль слева,90 000 км,Бишкек,https://www.mashina.kg/details/hyundai-sonata-64fead3575989053440680,09_11_2023
Mercedes-Benz B-Класс,2008 г.,$ 6 800,вариатор,белый,хэтчбек 5 дв.,1.7,бензин,руль слева,130 000 км,Бишкек,https://www.mashina.kg/details/mercedes-benz-b-klass-64fead099cd1a588407106,09_11_2023
Toyota Prius,2005 г.,$ 8 300,автомат,серебристый,хэтчбек 5 дв.,1.5,гибрид,руль слева,270 000 км,Бишкек,https://www.mashina.kg/details/toyota-prius-64feac67c1f2b700090441,09_11_2023
Lexus RX,2006 г.,$ 13 100,автомат,серый,внедорожник 5 дв.,3.3,бензин,руль слева,158 000 км,Бишкек,https://www.mashina.kg/details/lexus-rx-64feac4011288716293443,09_11_2023
Chevrolet Lacetti,2007 г.,$ 3 750,механика,синий,хэтчбек 5 дв.,1.4,бензин,руль слева,300 000 км,Бишкек,https://www.mashina.kg/details/chevrolet-lacetti-64fed0d820d48171019908,09_11_2023
Opel Omega,2004 г.,$ 5 800,автомат,черный,универсал,2.5,дизель,руль слева,295 800 км,Бишкек,https://www.mashina.kg/details/opel-omega-64fed0beef377619109345,09_11_2023
Honda Jazz,2008 г.,$ 6 700,механика,черный,хэтчбек 5 дв.,1.3,бензин,руль слева,207 000 км,Бишкек,https://www.mashina.kg/details/honda-jazz-64fed07c22a18787675007,09_11_2023
Toyota Camry (Japan),2003 г.,$ 8 200,автомат,серебристый,седан,2.4,бензин,руль справа,212 000 км,Бишкек,https://www.mashina.kg/details/toyota-camry-japan-64fed07582568378543543,09_11_2023
Kia K7,2018 г.,$ 20 000,автомат,синий,седан,2.4,бензин,руль слева,132 000 км,Бишкек,https://www.mashina.kg/details/kia-k7-64fed05371455589115701,09_11_2023
Toyota Avensis,2008 г.,$ 9 000,механика,серый,универсал,2.2,дизель,руль слева,416 000 км,Бишкек,https://www.mashina.kg/details/toyota-avensis-64fed0405a3e9869250246,09_11_2023
Kia K7,2018 г.,$ 15 500,автомат,серый,седан,3,газ,руль слева,100 000 км,Бишкек,https://www.mashina.kg/details/kia-k7-64fed0155a82b796977186,09_11_2023
Kia K7,2016 г.,$ 18 000,автомат,черный,седан,3.3,бензин,руль слева,113 000 км,Бишкек,https://www.mashina.kg/details/kia-k7-64fecf4fed5ef744306521,09_11_2023
Honda Stepwgn,2003 г.,$ 11 700,автомат,черный,минивэн,2.4,бензин,руль справа,209 000 км,Бишкек,https://www.mashina.kg/details/honda-stepwgn-64fecf1668811212724287,09_11_2023
Honda Jazz,2006 г.,$ 6 400,вариатор,оранжевый,хэтчбек 5 дв.,1.5,бензин,руль слева,300 000 км,Бишкек,https://www.mashina.kg/details/honda-jazz-64fecf1369ce3659610741,09_11_2023
Toyota Avensis,2003 г.,$ 7 800,автомат,черный,седан,1.8,бензин,руль слева,234 567 км,Бишкек,https://www.mashina.kg/details/toyota-avensis-64fecf08943b7027741818,09_11_2023
Chevrolet Spark,2018 г.,$ 8 900,вариатор,черный,хэтчбек 5 дв.,1,бензин,руль слева,88 000 км,Бишкек,https://www.mashina.kg/details/chevrolet-spark-64fece7516d1f998932302,09_11_2023
Honda Fit,2005 г.,$ 6 800,вариатор,серебристый,хэтчбек 5 дв.,1.3,бензин,руль справа,302 000 км,Бишкек,https://www.mashina.kg/details/honda-fit-64fecddad0318259099742,09_11_2023
Toyota Camry,2005 г.,$ 10 000,автомат,зеленый,седан,2.4,бензин,руль слева,247 000 км,Бишкек,https://www.mashina.kg/details/toyota-camry-64fecd3c17128319073320,09_11_2023
Nissan Patrol,2006 г.,$ 17 500,автомат,серый,внедорожник 5 дв.,3,дизель,руль слева,240 000 км,Бишкек,https://www.mashina.kg/details/nissan-patrol-64fdcc0db0c90682078496,09_11_2023
