make_model,year,price_usd,price_som,transmission,color,body_type,engine_cap,engine_type,wheel_pos,mileage,city,car_link
BYD F3,2008 г.,$ 4 500,392 985 сом,механика,синий,седан,1.6,бензин,руль слева,325 952 км,Бишкек,https://www.mashina.kg/details/byd-f3-63e7a4f53df57588656715
Kia K5 II Седан,2017 г.,$ 13 600,1 187 688 сом,автомат,серебристый,седан,2,газ,руль слева,174 000 км,Бишкек,https://www.mashina.kg/details/kia-k5-63e5dc307fb69995296712
Hyundai Sonata,2018 г.,$ 13 900,1 213 887 сом,,серебристый,седан,автомат,газ,руль слева,119 000 км,Бишкек,https://www.mashina.kg/details/hyundai-sonata-63e5584c1055b064089872
Subaru Legacy,2005 г.,$ 8 500,742 305 сом,автомат,синий,седан,2,бензин,руль слева,120 000 км,Бишкек,https://www.mashina.kg/details/subaru-legacy-63e728366d89f954073051
Toyota Prius,2014 г.,$ 13 900,1 213 887 сом,автомат,серебристый,хэтчбек 5 дв.,1.8,гибрид,руль слева,140 000 км,Бишкек,https://www.mashina.kg/details/toyota-prius-63e79f67b1c6e552718623
Honda CR-V,2005 г.,$ 10 500,916 965 сом,автомат,черный,внедорожник 5 дв.,2.4,бензин,руль слева,265 000 км,Бишкек,https://www.mashina.kg/details/honda-cr-v-63e79c9624ea6071100792
Hyundai Accent,2017 г.,$ 15 000,1 309 950 сом,автомат,белый,седан,1.6,бензин,руль слева,50 000 км,Бишкек,https://www.mashina.kg/details/hyundai-accent-63e7975834f4c978092355
Toyota Corolla,2005 г.,$ 8 800,768 504 сом,механика,серебристый,универсал,1.6,бензин,руль слева,240 000 км,Бишкек,https://www.mashina.kg/details/toyota-corolla-63e76a263e090534211843
Infiniti EX,2008 г.,$ 12 700,1 109 091 сом,автомат,белый,внедорожник 5 дв.,3.5,бензин,руль слева,235 000 км,Бишкек,https://www.mashina.kg/details/infiniti-ex-63e769ac8f643834944906
Honda Stepwgn,2008 г.,$ 11 000,960 630 сом,автомат,белый,минивэн,2,бензин,руль справа,225 000 км,Бишкек,https://www.mashina.kg/details/honda-stepwgn-63e76879390f7020503123
Hyundai Sonata,2018 г.,$ 13 700,1 196 421 сом,,оранжевый,седан,автомат,газ,руль слева,310 000 км,Бишкек,https://www.mashina.kg/details/hyundai-sonata-63e7676458e28109766350
Subaru Outback,2011 г.,$ 12 900,1 126 557 сом,вариатор,серебристый,универсал,2.5,бензин,руль слева,182 000 км,Бишкек,https://www.mashina.kg/details/subaru-outback-63e76728e2a04134854464
Subaru Outback,2009 г.,$ 11 900,1 039 227 сом,вариатор,серый,универсал,2.5,бензин,руль слева,164 900 км,Бишкек,https://www.mashina.kg/details/subaru-outback-63e76692451bb757255052
Kia Ceed,2017 г.,$ 10 700,934 431 сом,автомат,бронза,универсал,1.6,бензин,руль слева,192 000 км,Бишкек,https://www.mashina.kg/details/kia-ceed-63e76609d08b0714118598
Kia Morning,2017 г.,$ 9 500,829 635 сом,автомат,бежевый,хэтчбек 5 дв.,1,бензин,руль слева,50 455 км,Бишкек,https://www.mashina.kg/details/kia-morning-63e61eb2c0d70606365045
Mercedes-Benz S-класс,2008 г.,$ 15 000,1 309 950 сом,автомат,белый,седан,5.5,бензин,руль слева,261 404 км,Бишкек,https://www.mashina.kg/details/mercedes-benz-s-klass-63e7597e43f30166585004
Honda CR-V,2008 г.,$ 13 200,1 152 756 сом,автомат,белый,внедорожник 5 дв.,2.4,бензин,руль слева,208 523 км,Бишкек,https://www.mashina.kg/details/honda-cr-v-63e735387e4a5937403205
Toyota Camry,2011 г.,$ 14 000,1 222 620 сом,автомат,серый,седан,2.5,бензин,руль слева,180 156 км,Бишкек,https://www.mashina.kg/details/toyota-camry-63e75911d4fa3135129378
Toyota RAV4,2006 г.,$ 11 900,1 039 227 сом,автомат,золотистый,внедорожник 5 дв.,3.5,бензин,руль слева,195 000 км,Бишкек,https://www.mashina.kg/details/toyota-rav4-63e6054113a47216865647
Hyundai Sonata,2017 г.,$ 14 700,1 283 751 сом,,белый,седан,автомат,газ,руль слева,230 150 км,Бишкек,https://www.mashina.kg/details/hyundai-sonata-63e753145d127780205455
Kia K5 II Седан,2016 г.,$ 14 200,1 240 086 сом,автомат,белый,седан,2,газ,руль слева,158 659 км,Бишкек,https://www.mashina.kg/details/kia-k5-63e74c97315fe056253570
Honda CR-V,2006 г.,$ 11 000,960 630 сом,автомат,белый,внедорожник 5 дв.,2.4,бензин,руль справа,212 000 км,Бишкек,https://www.mashina.kg/details/honda-cr-v-63e74c8b0ea52704220198
Hyundai Elantra,2017 г.,$ 14 500,1 266 285 сом,автомат,красный,седан,2,бензин,руль слева,120 000 км,Бишкек,https://www.mashina.kg/details/hyundai-elantra-63e7495b7690c038648232
Subaru Outback,2006 г.,$ 10 500,916 965 сом,автомат,серый,универсал,2.5,бензин,руль справа,216 500 км,Бишкек,https://www.mashina.kg/details/subaru-outback-63e74915737ca582906506
ВАЗ (Lada) 2121 (4x4) Нива,2007 г.,$ 5 000,436 650 сом,механика,белый,внедорожник 3 дв.,1.7,бензин,руль слева,,Бишкек,https://www.mashina.kg/details/vaz-lada-2121-4x4-niva-63e748aeb9acb585272045
Hyundai Elantra,2017 г.,$ 14 500,1 266 285 сом,автомат,бордовый,седан,2,бензин,руль слева,120 000 км,Бишкек,https://www.mashina.kg/details/hyundai-elantra-63e745878077b022118978
Honda Jazz,2007 г.,$ 7 750,676 808 сом,вариатор,красный,хэтчбек 5 дв.,1.3,бензин,руль слева,162 000 км,Бишкек,https://www.mashina.kg/details/honda-jazz-63e5dfc8e5df1105322895
Honda Stepwgn,2005 г.,$ 11 200,978 096 сом,автомат,серебристый,минивэн,2,бензин,руль справа,150 000 км,Бишкек,https://www.mashina.kg/details/honda-stepwgn-63e62612e84cc085445689
Honda CR-V,2008 г.,$ 14 000,1 222 620 сом,автомат,черный,внедорожник 5 дв.,2.4,бензин,руль слева,167 000 км,Бишкек,https://www.mashina.kg/details/honda-cr-v-63e625da8892d028379088
Hyundai Sonata,2015 г.,$ 15 000,1 309 950 сом,автомат,черный,седан,2,бензин,руль слева,100 000 км,Бишкек,https://www.mashina.kg/details/hyundai-sonata-63e61bf1a5ed5017558754
Volkswagen Golf,2007 г.,$ 5 200,454 116 сом,механика,синий,хэтчбек 5 дв.,1.6,бензин,руль слева,198 000 км,Бишкек,https://www.mashina.kg/details/volkswagen-golf-63e617ea0529f552948629
Kia Morning,2016 г.,$ 9 300,812 169 сом,автомат,бежевый,хэтчбек 5 дв.,1,бензин,руль слева,73 430 км,Бишкек,https://www.mashina.kg/details/kia-morning-63e6162079a2d320894102
Hyundai Sonata,2015 г.,$ 13 000,1 135 290 сом,автомат,белый,седан,2,газ,руль слева,155 000 км,Бишкек,https://www.mashina.kg/details/hyundai-sonata-63e611d328b7e445294393
Toyota Alphard,2006 г.,$ 13 500,1 178 955 сом,автомат,белый,минивэн,3,бензин,руль справа,147 000 км,Бишкек,https://www.mashina.kg/details/toyota-alphard-63e611798b076516031082
Honda Odyssey,2008 г.,$ 11 800,1 030 494 сом,автомат,черный,минивэн,2.4,бензин,руль справа,18 700 км,Бишкек,https://www.mashina.kg/details/honda-odyssey-63e604bba20a3694097807
Mercedes-Benz C-Класс,2009 г.,$ 9 500,829 635 сом,автомат,серебристый,универсал,1.8,бензин,руль слева,,Бишкек,https://www.mashina.kg/details/mercedes-benz-c-klass-63e6045cbe5b6919347720
Lexus GS,2005 г.,$ 11 200,978 096 сом,автомат,серебристый,седан,3,бензин,руль слева,270 000 км,Бишкек,https://www.mashina.kg/details/lexus-gs-63e603a18d79c469391275
BMW X5,2007 г.,$ 14 500,1 266 285 сом,автомат,серебристый,внедорожник 5 дв.,4.8,бензин,руль слева,270 000 км,Бишкек,https://www.mashina.kg/details/bmw-x5-63e6039fc3662437857433
Nissan Almera,2005 г.,$ 4 351,380 000 сом,автомат,черный,седан,1.8,бензин,руль слева,230 000 км,Бишкек,https://www.mashina.kg/details/nissan-almera-63e6030086bfd352926524
Honda Fit,2008 г.,$ 10 000,873 300 сом,автомат,голубой,хэтчбек 5 дв.,1.5,бензин,руль слева,75 000 км,Бишкек,https://www.mashina.kg/details/honda-fit-63e5ff32689dc998768986
Toyota Corolla,2012 г.,$ 10 500,916 965 сом,механика,серебристый,седан,1.6,бензин,руль слева,292 000 км,Бишкек,https://www.mashina.kg/details/toyota-corolla-63e5ff10b3cc3157738919
Ravon Nexia R3,2017 г.,$ 7 800,681 174 сом,механика,белый,седан,1.5,бензин,руль слева,94 000 км,Бишкек,https://www.mashina.kg/details/ravon-nexia-r3-63e5f67f43177292186135
Honda Fit,2009 г.,$ 9 200,803 436 сом,автомат,черный,хэтчбек 5 дв.,1.5,бензин,руль слева,19 867 км,Бишкек,https://www.mashina.kg/details/honda-fit-63e5f27acc3d5002906043
Hyundai Starex (H-1),2009 г.,$ 10 500,916 965 сом,автомат,серебристый,минивэн,2.5,дизель,руль слева,150 000 км,Бишкек,https://www.mashina.kg/details/hyundai-starex-h-1-63e5f1a60f5d8881525539
Skoda Octavia,2013 г.,$ 7 787,680 000 сом,робот,коричневый,лифтбек,1.4,бензин,руль слева,490 000 км,Бишкек,https://www.mashina.kg/details/skoda-octavia-63e5d7b4686af071449140
Toyota Mark X,2005 г.,$ 9 500,829 635 сом,автомат,серебристый,седан,2.5,бензин,руль справа,320 000 км,Бишкек,https://www.mashina.kg/details/toyota-mark-x-63e5e399d4d1e868640141
Toyota Camry,2013 г.,$ 15 000,1 309 950 сом,автомат,серебристый,седан,2.5,бензин,руль слева,172 000 км,Бишкек,https://www.mashina.kg/details/toyota-camry-63e5e1eb3df24726754118
Honda CR-V,2008 г.,$ 14 300,1 248 819 сом,автомат,серебристый,внедорожник 5 дв.,2.4,бензин,руль слева,215 000 км,Бишкек,https://www.mashina.kg/details/honda-cr-v-63e6192a7fb5b555881125
Toyota Crown,2006 г.,$ 11 800,1 030 494 сом,автомат,белый,седан,3.5,бензин,руль справа,210 000 км,Бишкек,https://www.mashina.kg/details/toyota-crown-63e6920f69b5c280206166
Toyota Prius,2016 г.,$ 15 000,1 309 950 сом,автомат,синий,хэтчбек 5 дв.,1.8,гибрид,руль слева,140 000 км,Бишкек,https://www.mashina.kg/details/toyota-prius-63e5d9344dd38899401308
Hyundai Sonata,2018 г.,$ 14 900,1 301 217 сом,,белый,седан,автомат,газ,руль слева,,Бишкек,https://www.mashina.kg/details/hyundai-sonata-63e723ee1644f089656930
Renault Duster,2017 г.,$ 13 800,1 205 154 сом,автомат,белый,внедорожник 5 дв.,2,бензин,руль слева,94 000 км,Бишкек,https://www.mashina.kg/details/renault-duster-63e5dabe56c92343989983
BMW 7 Серия,2007 г.,$ 8 800,768 504 сом,автомат,черный,седан,4,бензин,руль слева,159 000 км,Бишкек,https://www.mashina.kg/details/bmw-7-seriya-63e5d6e215ad1085522773
Honda Fit,2008 г.,$ 8 600,751 038 сом,автомат,серый,хэтчбек 5 дв.,1.5,бензин,руль слева,108 565 км,Бишкек,https://www.mashina.kg/details/honda-fit-63e7210ec6b90034515294
Kia K5 II Седан,2016 г.,$ 14 200,1 240 086 сом,автомат,белый,седан,2,газ,руль слева,114 500 км,Бишкек,https://www.mashina.kg/details/kia-k5-63e71f80396bf706737919
Toyota Camry,2005 г.,$ 10 500,916 965 сом,автомат,черный,седан,2.4,бензин,руль слева,260 000 км,Бишкек,https://www.mashina.kg/details/toyota-camry-63e71dba4ec7d514624622
Hyundai Sonata,2016 г.,$ 11 200,978 096 сом,автомат,серебристый,седан,2,газ,руль слева,280 000 км,Бишкек,https://www.mashina.kg/details/hyundai-sonata-63e71aa4e006d032479670
Toyota Camry,2005 г.,$ 9 200,803 436 сом,автомат,черный,седан,2.4,бензин,руль слева,250 000 км,Бишкек,https://www.mashina.kg/details/toyota-camry-63e5fe0a59e09905513450
Toyota Estima,2008 г.,$ 11 000,960 630 сом,вариатор,белый,минивэн,2.4,бензин,руль справа,123 000 км,Бишкек,https://www.mashina.kg/details/toyota-estima-63e5d6c04ebb4950570069
Subaru Forester,2010 г.,$ 11 800,1 030 494 сом,автомат,зеленый,внедорожник 5 дв.,2.5,бензин,руль слева,136 400 км,Бишкек,https://www.mashina.kg/details/subaru-forester-63e7183f93bc5569742311
Chevrolet Malibu,2016 г.,$ 12 900,1 126 557 сом,автомат,синий,седан,1.5,бензин,руль слева,150 000 км,Бишкек,https://www.mashina.kg/details/chevrolet-malibu-63e64ce7071ea400905996
Land Rover Range Rover Sport,2005 г.,$ 12 700,1 109 091 сом,автомат,красный,внедорожник 5 дв.,4.4,бензин,руль слева,180 000 км,Бишкек,https://www.mashina.kg/details/land-rover-range-rover-sport-63e654a28cd7a229091430
Toyota Estima,2006 г.,$ 12 000,1 047 960 сом,вариатор,серый,минивэн,2.4,бензин,руль справа,290 000 км,Бишкек,https://www.mashina.kg/details/toyota-estima-63e5cb96ed57f405672765
Mercedes-Benz GL-класс,2007 г.,$ 12 800,1 117 824 сом,автомат,черный,внедорожник 5 дв.,5.5,бензин,руль слева,220 000 км,Бишкек,https://www.mashina.kg/details/mercedes-benz-gl-klass-63e711c361fc9118536333
Toyota Alphard,2005 г.,$ 14 000,1 222 620 сом,автомат,белый,минивэн,3,бензин,руль справа,168 370 км,Бишкек,https://www.mashina.kg/details/toyota-alphard-63e69b2beaae6625060594
Hyundai Sonata,2013 г.,$ 11 000,960 630 сом,автомат,белый,седан,2,газ,руль слева,260 000 км,Бишкек,https://www.mashina.kg/details/hyundai-sonata-63e654b328c79678888996
BMW X5,2008 г.,$ 13 000,1 135 290 сом,автомат,белый,внедорожник 5 дв.,4.8,бензин,руль слева,211 000 км,Бишкек,https://www.mashina.kg/details/bmw-x5-63e5e2319ea77827615950
Hyundai Sonata,2018 г.,$ 14 600,1 275 018 сом,,серебристый,седан,автомат,газ,руль слева,153 000 км,Бишкек,https://www.mashina.kg/details/hyundai-sonata-63e77d610b6ec789136336
Mitsubishi Pajero,2008 г.,$ 15 000,1 309 950 сом,механика,белый,внедорожник 5 дв.,3.2,дизель,руль слева,280 000 км,Бишкек,https://www.mashina.kg/details/mitsubishi-pajero-63e77d5378fd0255859298
Mitsubishi Lancer,2006 г.,$ 4 122,360 000 сом,автомат,серый,седан,1.6,бензин,руль слева,214 116 км,Бишкек,https://www.mashina.kg/details/mitsubishi-lancer-63e77c2513db2785844798
Hyundai Sonata,2017 г.,$ 14 500,1 266 285 сом,автомат,серебристый,седан,2,газ,руль слева,151 000 км,Бишкек,https://www.mashina.kg/details/hyundai-sonata-63e77b5f99862704178753
Subaru Impreza,2005 г.,$ 5 600,489 048 сом,автомат,белый,универсал,1.5,бензин,руль справа,287 000 км,Бишкек,https://www.mashina.kg/details/subaru-impreza-63e77b48a82c2373712906
Hyundai Sonata,2017 г.,$ 13 850,1 209 521 сом,автомат,белый,седан,2,газ,руль слева,235 000 км,Бишкек,https://www.mashina.kg/details/hyundai-sonata-63e77a0f4d3ca388806032
Honda Fit,2019 г.,$ 12 500,1 091 625 сом,вариатор,красный,хэтчбек 5 дв.,1.5,бензин,руль слева,53 000 км,Бишкек,https://www.mashina.kg/details/honda-fit-63e6556ce7154911464601
Renault Logan,2018 г.,$ 8 016,700 000 сом,механика,белый,седан,1.6,бензин,руль слева,256 000 км,Бишкек,https://www.mashina.kg/details/renault-logan-63e77876d0054324606949
Subaru Forester,2010 г.,$ 12 111,1 057 654 сом,автомат,серый,внедорожник 5 дв.,2.5,бензин,руль слева,107 000 км,Бишкек,https://www.mashina.kg/details/subaru-forester-63e7784dce861353677058
Mercedes-Benz GL-класс,2006 г.,$ 11 200,978 096 сом,автомат,черный,внедорожник 5 дв.,4.7,бензин,руль слева,210 000 км,Бишкек,https://www.mashina.kg/details/mercedes-benz-gl-klass-63e775ac9090f667529624
Kia K7,2012 г.,$ 13 800,1 205 154 сом,автомат,белый,седан,3,бензин,руль слева,200 000 км,Бишкек,https://www.mashina.kg/details/kia-k7-63e775183d322992820465
Toyota Camry,2010 г.,$ 13 500,1 178 955 сом,автомат,серый,седан,2.5,бензин,руль слева,192 000 км,Бишкек,https://www.mashina.kg/details/toyota-camry-63e7749e840be025285475
Kia Rio,2015 г.,$ 6 700,585 111 сом,механика,черный,хэтчбек 5 дв.,1.4,бензин,руль слева,169 000 км,Бишкек,https://www.mashina.kg/details/kia-rio-63e75f9e54090029455448
Honda Odyssey (North America),2009 г.,$ 14 850,1 296 851 сом,автомат,серый,минивэн,3.5,бензин,руль слева,219 000 км,Бишкек,https://www.mashina.kg/details/honda-odyssey-north-america-63e7738d3c373563091454
Mercedes-Benz E-класс,2007 г.,$ 15 000,1 309 950 сом,автомат,белый,седан,3.5,бензин,руль слева,241 750 км,Бишкек,https://www.mashina.kg/details/mercedes-benz-e-klass-63e77313cfd37019092977
BMW 5 Серия,2006 г.,$ 7 300,637 509 сом,автомат,серый,седан,2.5,бензин,руль слева,1 000 км,Бишкек,https://www.mashina.kg/details/bmw-5-seriya-63e772a542425923758415
Toyota Camry,2012 г.,$ 15 000,1 309 950 сом,автомат,серебристый,седан,2.5,бензин,руль слева,99 999 км,Бишкек,https://www.mashina.kg/details/toyota-camry-63e76cd922355843335028
Toyota Crown,2005 г.,$ 8 703,760 000 сом,автомат,серебристый,седан,3,бензин,руль справа,181 000 км,Бишкек,https://www.mashina.kg/details/toyota-crown-63e5d91bc79b2231920396
Toyota Prius,2013 г.,$ 13 200,1 152 756 сом,автомат,белый,хэтчбек 5 дв.,1.8,гибрид,руль слева,86 000 км,Бишкек,https://www.mashina.kg/details/toyota-prius-63e7482561009178983141
Toyota Camry,2008 г.,$ 10 500,916 965 сом,автомат,серебристый,седан,3.5,бензин,руль слева,220 000 км,Бишкек,https://www.mashina.kg/details/toyota-camry-63e76c4537bd2751982649
Toyota Camry,2005 г.,$ 9 161,800 000 сом,автомат,синий,седан,2.4,бензин,руль слева,215 000 км,Бишкек,https://www.mashina.kg/details/toyota-camry-63e701f4892c8871696117
Mercedes-Benz S-класс,2006 г.,$ 11 000,960 630 сом,автомат,черный,седан,3.5,бензин,руль слева,200 000 км,Бишкек,https://www.mashina.kg/details/mercedes-benz-s-klass-63e6f87d62974075984894
Toyota Prius c,2016 г.,$ 12 800,1 117 824 сом,вариатор,синий,хэтчбек 5 дв.,1.5,гибрид,руль слева,79 000 км,Бишкек,https://www.mashina.kg/details/toyota-prius-c-63e5aea1bc75f861402632
Honda Accord,2005 г.,$ 8 500,742 305 сом,автомат,серый,седан,2,бензин,руль справа,277 176 км,Бишкек,https://www.mashina.kg/details/honda-accord-63e686973f6fb967434296
Lexus GS,2006 г.,$ 11 000,960 630 сом,вариатор,черный,седан,3.5,гибрид,руль слева,190 000 км,Бишкек,https://www.mashina.kg/details/lexus-gs-63e536a1dd906676234670
BMW X5,2005 г.,$ 13 500,1 178 955 сом,автомат,серый,внедорожник 5 дв.,4.4,бензин,руль слева,260 000 км,Бишкек,https://www.mashina.kg/details/bmw-x5-63e6827939e9b594558523
Toyota Prius,2012 г.,$ 13 500,1 178 955 сом,автомат,белый,хэтчбек 5 дв.,1.8,гибрид,руль слева,196 000 км,Бишкек,https://www.mashina.kg/details/toyota-prius-63e681a3a8d05234702780
Hyundai Elantra,2018 г.,$ 14 650,1 279 385 сом,автомат,серый,седан,2,бензин,руль слева,100 000 км,Бишкек,https://www.mashina.kg/details/hyundai-elantra-63e67e1d37574370973094
Hyundai Sonata,2015 г.,$ 11 700,1 021 761 сом,автомат,серебристый,седан,2,газ,руль слева,98 325 км,Бишкек,https://www.mashina.kg/details/hyundai-sonata-63e67e1a5c5e6953499893
Toyota Auris,2008 г.,$ 7 443,650 000 сом,механика,черный,хэтчбек 5 дв.,1.6,бензин,руль слева,,Бишкек,https://www.mashina.kg/details/toyota-auris-63e60cd495c4b500146965
Kia Optima,2017 г.,$ 14 300,1 248 819 сом,автомат,синий,седан,2.4,бензин,руль слева,99 000 км,Бишкек,https://www.mashina.kg/details/kia-optima-63e6727bd52f0640859572
Hyundai Sonata,2017 г.,$ 13 200,1 152 756 сом,автомат,серебристый,седан,2.4,бензин,руль слева,156 000 км,Бишкек,https://www.mashina.kg/details/hyundai-sonata-63e67160a5b8f145345699
Volkswagen Golf,2008 г.,$ 9 200,803 436 сом,робот,серебристый,хэтчбек 5 дв.,1.4,бензин,руль слева,143 600 км,Бишкек,https://www.mashina.kg/details/volkswagen-golf-63e6683859229464285446
Mazda Premacy,2005 г.,$ 9 500,829 635 сом,автомат,черный,компактвэн,2,бензин,руль справа,255 532 км,Бишкек,https://www.mashina.kg/details/mazda-premacy-63e6679f874e0260509324
Subaru Outback,2012 г.,$ 12 800,1 117 824 сом,вариатор,серебристый,универсал,2.5,бензин,руль слева,159 946 км,Бишкек,https://www.mashina.kg/details/subaru-outback-63e6679cc8068755378703
Toyota Camry,2010 г.,$ 11 800,1 030 494 сом,автомат,белый,седан,2.4,бензин,руль слева,568 552 км,Бишкек,https://www.mashina.kg/details/toyota-camry-63e6657870b9d624738502
Honda Elysion,2008 г.,$ 12 000,1 047 960 сом,автомат,белый,минивэн,3,бензин,руль справа,159 000 км,Бишкек,https://www.mashina.kg/details/honda-elysion-63e661845ba90071937289
Honda Inspire,2005 г.,$ 8 800,768 504 сом,автомат,серебристый,седан,3,бензин,руль справа,213 214 км,Бишкек,https://www.mashina.kg/details/honda-inspire-63e661504341b516934404
Subaru Outback,2006 г.,$ 11 800,1 030 494 сом,автомат,серебристый,универсал,2.5,бензин,руль слева,240 000 км,Бишкек,https://www.mashina.kg/details/subaru-outback-63e65bdc7c5d3239917988
Kia K5 II Седан,2016 г.,$ 12 000,1 047 960 сом,автомат,жёлтый,седан,2,газ,руль слева,150 000 км,Бишкек,https://www.mashina.kg/details/kia-k5-63e65a206687d299924216
Toyota Prius,2011 г.,$ 7 500,654 975 сом,автомат,белый,хэтчбек 5 дв.,1.8,гибрид,руль справа,169 000 км,Бишкек,https://www.mashina.kg/details/toyota-prius-63e7451625b6f430006979
Toyota Camry,2012 г.,$ 14 500,1 266 285 сом,автомат,белый,седан,2.5,бензин,руль слева,115 731 км,Бишкек,https://www.mashina.kg/details/toyota-camry-63e7448094b8d130848495
Toyota Camry,2005 г.,$ 8 200,716 106 сом,автомат,черный,седан,2.4,бензин,руль слева,200 000 км,Бишкек,https://www.mashina.kg/details/toyota-camry-63e743d61ff1d569367493
Kia Morning,2018 г.,$ 10 300,899 499 сом,автомат,белый,хэтчбек 5 дв.,1,бензин / газ,руль слева,156 400 км,Бишкек,https://www.mashina.kg/details/kia-morning-63e741f8b96df816654633
Honda Stepwgn,2005 г.,$ 10 400,908 232 сом,автомат,белый,минивэн,2,бензин,руль справа,219 000 км,Бишкек,https://www.mashina.kg/details/honda-stepwgn-63e741777528a712875092
Chevrolet Malibu,2012 г.,$ 10 500,916 965 сом,автомат,серый,седан,2.4,бензин,руль слева,270 000 км,Бишкек,https://www.mashina.kg/details/chevrolet-malibu-63e74117c209d310175840
Hyundai Elantra,2016 г.,$ 14 500,1 266 285 сом,автомат,белый,седан,2,бензин,руль слева,100 000 км,Бишкек,https://www.mashina.kg/details/hyundai-elantra-63e740726f247640925304
Toyota Aygo,2007 г.,$ 5 300,462 849 сом,механика,черный,хэтчбек 5 дв.,1,бензин,руль слева,105 000 км,Бишкек,https://www.mashina.kg/details/toyota-aygo-63e641cf14fbf955767293
Honda Fit,2008 г.,$ 9 000,785 970 сом,вариатор,белый,хэтчбек 5 дв.,1.3,бензин,руль справа,,Бишкек,https://www.mashina.kg/details/honda-fit-63e73a7fe1bab761078285
Kia Rio,2017 г.,$ 9 200,803 436 сом,механика,белый,хэтчбек 5 дв.,1.2,бензин,руль слева,130 000 км,Бишкек,https://www.mashina.kg/details/kia-rio-63e739330e3c9904770178
Toyota Corolla,2014 г.,$ 12 700,1 109 091 сом,вариатор,серый,седан,1.8,бензин,руль слева,109 250 км,Бишкек,https://www.mashina.kg/details/toyota-corolla-63e73615a5e2f353227422
Mercedes-Benz S-класс,2006 г.,$ 13 500,1 178 955 сом,автомат,черный,седан,3.5,бензин,руль слева,180 000 км,Бишкек,https://www.mashina.kg/details/mercedes-benz-s-klass-63e735b9a96cb161501891
Toyota Yaris,2007 г.,$ 7 800,681 174 сом,механика,синий,хэтчбек 5 дв.,1,бензин,руль слева,150 000 км,Бишкек,https://www.mashina.kg/details/toyota-yaris-63e5bc98a7c64599122577
Honda CR-V,2005 г.,$ 7 200,628 776 сом,автомат,зеленый,внедорожник 5 дв.,2,бензин,руль слева,258 832 км,Бишкек,https://www.mashina.kg/details/honda-cr-v-63e7331b92ff6061558415
ВАЗ (Lada) 2107,2007 г.,$ 4 294,375 000 сом,механика,белый,седан,1.6,бензин,руль слева,68 500 км,Бишкек,https://www.mashina.kg/details/vaz-lada-2107-63e7325416fd5908432399
Mitsubishi Pajero,2005 г.,$ 11 300,986 829 сом,автомат,серебристый,внедорожник 5 дв.,3.2,дизель,руль слева,400 000 км,Бишкек,https://www.mashina.kg/details/mitsubishi-pajero-63e7311ab877d071532209
